movie_name,movie_href,movie_comment_num,movie_year,movie_country,movie_type
魔女宅急便,https://movie.douban.com/subject/1307811/,524928,1989,日本,动画 奇幻 冒险
芙蓉镇,https://movie.douban.com/subject/1297880/,190013,1987,中国大陆,爱情
忠犬八公物语,https://movie.douban.com/subject/1959195/,218804,1987,日本,未知
岁月神偷,https://movie.douban.com/subject/3792799/,612874,2010,中国香港 中国大陆,家庭
荒蛮故事,https://movie.douban.com/subject/24750126/,517983,2014,阿根廷 西班牙,喜剧 犯罪
遗愿清单,https://movie.douban.com/subject/1867345/,538803,2007,美国,冒险 喜剧
大佛普拉斯,https://movie.douban.com/subject/27059130/,554386,2017,中国台湾,喜剧
源代码,https://movie.douban.com/subject/3075287/,926466,2011,美国 加拿大,科幻 悬疑 惊悚
花束般的恋爱,https://movie.douban.com/subject/34874432/,828034,2021,日本,爱情
疯狂的麦克斯4：狂暴之路,https://movie.douban.com/subject/3592854/,618976,2015,澳大利亚 美国,动作 科幻 冒险
白日梦想家,https://movie.douban.com/subject/2133323/,648147,2013,美国 英国,喜剧 冒险
可可西里,https://movie.douban.com/subject/1308857/,346781,2004,中国大陆 中国香港,犯罪
你看起来好像很好吃,https://movie.douban.com/subject/4848115/,376036,2010,日本,动画 儿童
贫民窟的百万富翁,https://movie.douban.com/subject/2209573/,807228,2008,英国,爱情
爱乐之城,https://movie.douban.com/subject/25934014/,1115446,2016,美国,爱情 歌舞
波西米亚狂想曲,https://movie.douban.com/subject/5300054/,690471,2018,英国 美国,传记 同性 音乐
城市之光,https://movie.douban.com/subject/1293908/,173076,1931,美国,喜剧  爱情
爆裂鼓手,https://movie.douban.com/subject/25773932/,691517,2014,美国,音乐
东邪西毒,https://movie.douban.com/subject/1292328/,635755,1994,中国香港 中国台湾,动作 爱情 武侠 古装
青蛇,https://movie.douban.com/subject/1303394/,601609,1993,中国香港 中国大陆,爱情 奇幻 古装
哈利·波特与死亡圣器(上),https://movie.douban.com/subject/2051007/,696382,2010,英国 美国,奇幻 冒险
无耻混蛋,https://movie.douban.com/subject/1438652/,562852,2009,德国 美国,犯罪
终结者2：审判日,https://movie.douban.com/subject/1291844/,386237,1991,美国 法国,动作 科幻
大红灯笼高高挂,https://movie.douban.com/subject/1293323/,372310,1991,中国大陆 中国香港 中国台湾,未知
黑天鹅,https://movie.douban.com/subject/1978709/,847288,2010,美国,惊悚
新龙门客栈,https://movie.douban.com/subject/1292287/,510388,1992,中国香港 中国大陆,动作 爱情 武侠 古装
初恋这件小事,https://movie.douban.com/subject/4739952/,1052218,2010,泰国,喜剧 爱情
人工智能,https://movie.douban.com/subject/1302827/,502950,2001,美国,科幻
千钧一发,https://movie.douban.com/subject/1300117/,350747,1997,美国,科幻 惊悚
崖上的波妞,https://movie.douban.com/subject/1959877/,575878,2008,日本,动画 奇幻 冒险
雨人,https://movie.douban.com/subject/1291870/,443366,1988,美国,未知
虎口脱险,https://movie.douban.com/subject/1296909/,296529,1966,法国 英国,喜剧 战争
哈利·波特与凤凰社,https://movie.douban.com/subject/1457217/,696181,2007,英国 美国,奇幻 冒险
彗星来的那一夜,https://movie.douban.com/subject/25807345/,685156,2013,美国 英国,科幻 悬疑 惊悚
罗生门,https://movie.douban.com/subject/1291879/,358659,1950,日本,犯罪 悬疑
海边的曼彻斯特,https://movie.douban.com/subject/25980443/,653303,2016,美国,家庭
恋恋笔记本,https://movie.douban.com/subject/1309163/,748587,2004,美国,爱情
真爱至上,https://movie.douban.com/subject/1292401/,808948,2003,英国 美国 法国,喜剧  爱情
火星救援,https://movie.douban.com/subject/25864085/,833228,2015,英国 美国 匈牙利 约旦,科幻 冒险
黑客帝国2：重装上阵,https://movie.douban.com/subject/1304141/,455909,2003,美国,动作 科幻
步履不停,https://movie.douban.com/subject/2222996/,328206,2008,日本,家庭
冰雪奇缘,https://movie.douban.com/subject/4202982/,829974,2013,美国,喜剧 动画 奇幻 歌舞
奇迹男孩,https://movie.douban.com/subject/26787574/,601119,2017,美国 中国香港,儿童 家庭
千年女优,https://movie.douban.com/subject/1307394/,318485,2001,日本,动画  爱情
战争之王,https://movie.douban.com/subject/1419936/,415824,2005,美国 德国,犯罪
谍影重重2,https://movie.douban.com/subject/1308767/,400135,2004,美国 德国,动作 悬疑 惊悚
蜘蛛侠：平行宇宙,https://movie.douban.com/subject/26374197/,757514,2018,美国,动作 科幻 动画 冒险
攻壳机动队,https://movie.douban.com/subject/1291936/,218322,1995,日本,动作 科幻 动画
血钻,https://movie.douban.com/subject/1428175/,422185,2006,美国 德国 英国,惊悚 冒险
小姐,https://movie.douban.com/subject/25977027/,576431,2016,韩国,悬疑 情色 同性
隐藏人物,https://movie.douban.com/subject/26615208/,272576,2016,美国,传记 历史
魂断蓝桥,https://movie.douban.com/subject/1293964/,310924,1940,美国,爱情 战争
血观音,https://movie.douban.com/subject/27113517/,561029,2017,中国台湾,悬疑
房间,https://movie.douban.com/subject/25724855/,400269,2015,爱尔兰 加拿大 英国 美国,家庭
