movie_name,movie_href,movie_comment_num,movie_year,movie_country,movie_type,stars5,stars4,stars3,stars2,stars1,star1_cnt,star2_cnt,star3_cnt,star4_cnt,star5_cnt,smooth_score,raw_avg
末路狂花,https://movie.douban.com/subject/1291992/,347115,1991,美国 英国 法国,犯罪  惊悚,59.0,33.1,7.0,0.6,0.2,69423,208269,2429805,11489506,20479785,4.4975494035040775,449.8
超脱,https://movie.douban.com/subject/5322596/,720841,2011,美国,未知,59.3,32.3,7.4,0.7,0.2,144168,504589,5334223,23283164,42745871,4.497547590047032,449.5
哈利·波特与阿兹卡班的囚徒,https://movie.douban.com/subject/1291544/,887668,2004,英国 美国,奇幻 冒险,58.6,33.4,7.6,0.4,0.1,88767,355067,6746277,29648111,52017345,4.497544362937178,450.29999999999995
上帝之城,https://movie.douban.com/subject/1292208/,333535,2002,巴西 法国,犯罪,58.4,33.9,6.9,0.5,0.2,66707,166768,2301392,11306836,19478444,4.497543208212874,449.5
小森林 夏秋篇,https://movie.douban.com/subject/25814705/,473148,2014,日本,未知,59.1,32.5,7.5,0.6,0.2,94630,283889,3548610,15377310,27963047,4.497542047062401,449.4
喜宴,https://movie.douban.com/subject/1303037/,431470,1993,中国台湾 美国,喜剧 爱情 同性 家庭,56.4,37.3,5.8,0.4,0.2,86294,172588,2502526,16093831,24334908,4.497524315437874,449.6
我是山姆,https://movie.douban.com/subject/1306861/,376578,2001,美国,家庭,57.5,34.6,7.2,0.5,0.2,75316,188289,2711362,13029599,21653235,4.497516397942603,448.70000000000005
玛丽和麦克斯,https://movie.douban.com/subject/3072124/,470648,2009,澳大利亚 美国,喜剧 动画,57.9,33.1,8.0,0.8,0.3,141194,376518,3765184,15578449,27250519,4.497473836206001,447.8
春光乍泄,https://movie.douban.com/subject/1292679/,708156,1997,中国香港 日本 韩国,爱情 同性,57.9,33.5,7.7,0.6,0.3,212447,424894,5452801,23723226,41002232,4.497471612946331,448.1
虎口脱险,https://movie.douban.com/subject/1296909/,296529,1966,法国 英国,喜剧 战争,57.1,32.9,8.9,0.8,0.3,88959,237223,2639108,9755804,16931806,4.497469660092618,445.7
新世界,https://movie.douban.com/subject/10437779/,526965,2013,韩国,犯罪,55.9,36.0,7.4,0.5,0.2,105393,263482,3899541,18970740,29457344,4.4974522622254565,446.9
隐藏人物,https://movie.douban.com/subject/26615208/,272576,2016,美国,传记 历史,53.2,38.7,7.5,0.5,0.2,54515,136288,2044320,10548691,14501043,4.4974491874261995,444.5
侧耳倾听,https://movie.douban.com/subject/1297052/,520367,1995,日本,爱情 动画,56.3,34.7,8.3,0.5,0.1,52037,260184,4319046,18056735,29296662,4.497448818603072,446.3
卢旺达饭店,https://movie.douban.com/subject/1291822/,367326,2004,英国 南非 意大利 美国,传记 历史 战争,54.1,38.3,7.0,0.5,0.2,73465,183663,2571282,14068586,19872337,4.49744771911538,445.9
绿里奇迹,https://movie.douban.com/subject/1300374/,388403,1999,美国,犯罪  奇幻 悬疑,56.6,34.0,8.4,0.8,0.3,116521,310722,3262585,13205702,21983610,4.497446974711984,446.1
风之谷,https://movie.douban.com/subject/1291585/,393725,1984,日本,动画 奇幻 冒险,55.8,34.9,8.6,0.5,0.2,78745,196862,3386035,13741002,21969855,4.497444563344393,445.6
心灵捕手,https://movie.douban.com/subject/1292656/,813059,1997,美国,未知,56.6,35.5,7.3,0.5,0.2,162612,406530,5935331,28863594,46019139,4.497440459185888,448.1
