movie_name,movie_href,movie_complex,movie_comment_num
终结者2：审判日,https://movie.douban.com/subject/1291844/,1991 / 美国 法国 / 动作 科幻,386237人评价
大红灯笼高高挂,https://movie.douban.com/subject/1293323/,1991 / 中国大陆 中国香港 中国台湾 / 剧情,372310人评价
黑天鹅,https://movie.douban.com/subject/1978709/,2010 / 美国 / 剧情 惊悚,847288人评价
新龙门客栈,https://movie.douban.com/subject/1292287/,1992 / 中国香港 中国大陆 / 动作 爱情 武侠 古装,510388人评价
初恋这件小事,https://movie.douban.com/subject/4739952/,2010 / 泰国 / 剧情 喜剧 爱情,1052218人评价
人工智能,https://movie.douban.com/subject/1302827/,2001 / 美国 / 剧情 科幻,502950人评价
千钧一发,https://movie.douban.com/subject/1300117/,1997 / 美国 / 剧情 科幻 惊悚,350747人评价
崖上的波妞,https://movie.douban.com/subject/1959877/,2008 / 日本 / 动画 奇幻 冒险,575878人评价
雨人,https://movie.douban.com/subject/1291870/,1988 / 美国 / 剧情,443366人评价
虎口脱险,https://movie.douban.com/subject/1296909/,1966 / 法国 英国 / 喜剧 战争,296529人评价
哈利·波特与凤凰社,https://movie.douban.com/subject/1457217/,2007 / 英国 美国 / 奇幻 冒险,696181人评价
彗星来的那一夜,https://movie.douban.com/subject/25807345/,2013 / 美国 英国 / 科幻 悬疑 惊悚,685156人评价
罗生门,https://movie.douban.com/subject/1291879/,1950 / 日本 / 剧情 犯罪 悬疑,358659人评价
海边的曼彻斯特,https://movie.douban.com/subject/25980443/,2016 / 美国 / 剧情 家庭,653303人评价
恋恋笔记本,https://movie.douban.com/subject/1309163/,2004 / 美国 / 剧情 爱情,748587人评价
真爱至上,https://movie.douban.com/subject/1292401/,2003 / 英国 美国 法国 / 喜剧 剧情 爱情,808948人评价
火星救援,https://movie.douban.com/subject/25864085/,2015 / 英国 美国 匈牙利 约旦 / 剧情 科幻 冒险,833228人评价
黑客帝国2：重装上阵,https://movie.douban.com/subject/1304141/,2003 / 美国 / 动作 科幻,455909人评价
步履不停,https://movie.douban.com/subject/2222996/,2008 / 日本 / 剧情 家庭,328206人评价
冰雪奇缘,https://movie.douban.com/subject/4202982/,2013 / 美国 / 喜剧 动画 奇幻 歌舞,829974人评价
奇迹男孩,https://movie.douban.com/subject/26787574/,2017 / 美国 中国香港 / 剧情 儿童 家庭,601119人评价
千年女优,https://movie.douban.com/subject/1307394/,2001 / 日本 / 动画 剧情 爱情,318485人评价
战争之王,https://movie.douban.com/subject/1419936/,2005 / 美国 德国 / 剧情 犯罪,415824人评价
谍影重重2,https://movie.douban.com/subject/1308767/,2004 / 美国 德国 / 动作 悬疑 惊悚,400135人评价
蜘蛛侠：平行宇宙,https://movie.douban.com/subject/26374197/,2018 / 美国 / 动作 科幻 动画 冒险,757514人评价
攻壳机动队,https://movie.douban.com/subject/1291936/,1995 / 日本 / 动作 科幻 动画,218322人评价
血钻,https://movie.douban.com/subject/1428175/,2006 / 美国 德国 英国 / 剧情 惊悚 冒险,422185人评价
小姐,https://movie.douban.com/subject/25977027/,2016 / 韩国 / 剧情 悬疑 情色 同性,576431人评价
