movie_name,movie_href,movie_comment_num,movie_year,movie_country,movie_type,stars5,stars4,stars3,stars2,stars1
低俗小说,https://movie.douban.com/subject/1291832/,956778,1994,美国,喜剧 犯罪,55.8,34.4,8.7,0.9,0.3
超脱,https://movie.douban.com/subject/5322596/,720841,2011,美国,未知,59.3,32.3,7.4,0.7,0.2
哈利·波特与密室,https://movie.douban.com/subject/1296996/,913901,2002,英国 美国,奇幻 冒险,54.5,36.5,8.4,0.4,0.1
一一,https://movie.douban.com/subject/1292434/,507104,2000,中国台湾 日本,爱情 家庭,66.4,25.7,6.7,0.9,0.4
喜剧之王,https://movie.douban.com/subject/1302425/,1092200,1999,中国香港,喜剧  爱情,52.3,37.9,9.1,0.6,0.1
摩登时代,https://movie.douban.com/subject/1294371/,345980,1936,美国,喜剧 爱情,71.0,24.8,3.8,0.2,0.1
杀人回忆,https://movie.douban.com/subject/1300299/,834883,2003,韩国,动作 犯罪 悬疑 惊悚,55.0,36.8,7.4,0.6,0.2
致命ID,https://movie.douban.com/subject/1297192/,946046,2003,美国,悬疑 惊悚,53.1,38.3,7.8,0.6,0.2
春光乍泄,https://movie.douban.com/subject/1292679/,708156,1997,中国香港 日本 韩国,爱情 同性,57.9,33.5,7.7,0.6,0.3
加勒比海盗,https://movie.douban.com/subject/1298070/,966533,2003,美国,动作 冒险 奇幻,52.4,38.3,8.7,0.5,0.1
海豚湾,https://movie.douban.com/subject/3442220/,381996,2009,美国,纪录片,71.4,22.8,4.9,0.6,0.4
美国往事,https://movie.douban.com/subject/1292262/,470693,1984,美国 意大利,犯罪,65.3,27.3,6.2,0.7,0.4
红辣椒,https://movie.douban.com/subject/1865703/,568243,2006,日本,动画 悬疑 科幻 惊悚,61.4,30.2,7.3,0.8,0.3
七宗罪,https://movie.douban.com/subject/1292223/,1059504,1995,美国,犯罪 悬疑 惊悚,51.0,39.1,9.0,0.6,0.2
唐伯虎点秋香,https://movie.douban.com/subject/1306249/,1222310,1993,中国香港,喜剧 爱情 古装,49.2,40.0,10.0,0.6,0.1
狩猎,https://movie.douban.com/subject/6985810/,469135,2012,丹麦 瑞典,未知,62.6,31.1,5.4,0.5,0.4
幽灵公主,https://movie.douban.com/subject/1297359/,668272,1997,日本,动画 奇幻 冒险,56.6,34.5,8.2,0.6,0.2
甜蜜蜜,https://movie.douban.com/subject/1305164/,671493,1996,中国香港,爱情,55.6,36.0,7.7,0.5,0.2
寄生虫,https://movie.douban.com/subject/27010768/,1545640,2019,韩国,未知,50.4,40.9,7.9,0.6,0.3
天书奇谭,https://movie.douban.com/subject/1428581/,334059,1983,中国大陆,动画 奇幻,68.8,25.5,5.1,0.4,0.2
蝙蝠侠：黑暗骑士崛起,https://movie.douban.com/subject/3395373/,813053,2012,美国 英国,动作 科幻 犯罪 惊悚,54.3,35.8,8.9,0.7,0.2
7号房的礼物,https://movie.douban.com/subject/10777687/,621275,2013,韩国,喜剧 家庭,57.4,33.5,8.0,0.8,0.3
超能陆战队,https://movie.douban.com/subject/11026735/,1143356,2014,美国,喜剧 动作 科幻 动画 冒险,49.4,40.1,9.8,0.6,0.1
第六感,https://movie.douban.com/subject/1297630/,636336,1999,美国,悬疑 惊悚,54.9,37.0,7.5,0.5,0.1
茶馆,https://movie.douban.com/subject/1461403/,207954,1982,中国大陆,历史,80.6,16.8,2.4,0.2,0.1
爱在黎明破晓前,https://movie.douban.com/subject/1296339/,799087,1995,美国 奥地利 瑞士,爱情,54.4,34.4,9.8,1.0,0.3
爱在日落黄昏时,https://movie.douban.com/subject/1291990/,652434,2004,美国 法国,爱情,56.5,33.7,8.6,0.8,0.3
被嫌弃的松子的一生,https://movie.douban.com/subject/1787291/,774427,2006,日本,歌舞,55.0,34.0,9.3,1.2,0.5
哈利·波特与火焰杯,https://movie.douban.com/subject/1309055/,800394,2005,英国 美国,悬疑 奇幻 冒险,52.2,37.5,9.6,0.6,0.1
头脑特工队,https://movie.douban.com/subject/10533913/,804514,2015,美国,喜剧 动画 冒险,53.9,35.7,9.6,0.7,0.2
未麻的部屋,https://movie.douban.com/subject/1395091/,424647,1997,日本,犯罪 动画 悬疑 惊悚,62.3,30.6,6.2,0.6,0.3
重庆森林,https://movie.douban.com/subject/1291999/,921799,1994,中国香港,爱情,51.3,37.6,9.9,0.9,0.3
借东西的小人阿莉埃蒂,https://movie.douban.com/subject/4202302/,627172,2010,日本,动画 奇幻 冒险,54.4,37.3,7.8,0.4,0.1
入殓师,https://movie.douban.com/subject/2149806/,742496,2008,日本,未知,53.0,37.7,8.6,0.6,0.2
菊次郎的夏天,https://movie.douban.com/subject/1293359/,672954,1999,日本,喜剧,54.6,35.7,8.7,0.8,0.2
断背山,https://movie.douban.com/subject/1418834/,782097,2005,美国 加拿大,爱情 同性 家庭,53.5,35.6,9.7,0.8,0.4
剪刀手爱德华,https://movie.douban.com/subject/1292370/,1119839,1990,美国,爱情 奇幻,48.2,39.9,10.9,0.8,0.2
勇敢的心,https://movie.douban.com/subject/1294639/,605306,1995,美国,动作 传记  历史 战争,56.3,34.1,8.7,0.7,0.2
时空恋旅人,https://movie.douban.com/subject/10577869/,791946,2013,英国 美国,喜剧 爱情 奇幻,52.8,36.2,9.9,0.8,0.2
驯龙高手,https://movie.douban.com/subject/2353023/,864488,2010,美国,动画 奇幻 冒险,49.8,40.4,9.3,0.4,0.1
消失的爱人,https://movie.douban.com/subject/21318488/,1072526,2014,美国,犯罪 悬疑 惊悚,47.7,42.6,8.9,0.6,0.2
无人知晓,https://movie.douban.com/subject/1292337/,372116,2004,日本,未知,62.5,31.8,5.1,0.4,0.2
倩女幽魂,https://movie.douban.com/subject/1297447/,835236,1987,中国香港,爱情 奇幻 武侠 古装,49.3,40.9,9.2,0.5,0.1
傲慢与偏见,https://movie.douban.com/subject/1418200/,933054,2005,法国 英国 美国,爱情,49.3,39.4,10.3,0.8,0.2
新世界,https://movie.douban.com/subject/10437779/,526965,2013,韩国,犯罪,55.9,36.0,7.4,0.5,0.2
花样年华,https://movie.douban.com/subject/1291557/,804261,2000,中国香港,爱情,50.6,39.3,9.2,0.7,0.2
玩具总动员3,https://movie.douban.com/subject/1858711/,592282,2010,美国,喜剧 动画 奇幻 冒险,55.8,35.1,8.6,0.4,0.1
一个叫欧维的男人决定去死,https://movie.douban.com/subject/26628357/,568513,2015,瑞典,未知,54.6,37.3,7.5,0.5,0.1
完美的世界,https://movie.douban.com/subject/1300992/,359989,1993,美国,犯罪,63.2,30.4,5.7,0.5,0.2
色，戒,https://movie.douban.com/subject/1828115/,960242,2007,中国台湾 中国大陆 美国 中国香港,爱情 情色,49.5,38.6,10.8,0.8,0.3
阳光灿烂的日子,https://movie.douban.com/subject/1291875/,695376,1994,中国大陆 中国香港,爱情,52.5,37.7,8.8,0.7,0.3
怪兽电力公司,https://movie.douban.com/subject/1291579/,769871,2001,美国,儿童 喜剧 动画 奇幻 冒险,49.7,40.7,9.2,0.4,0.1
小森林 夏秋篇,https://movie.douban.com/subject/25814705/,473148,2014,日本,未知,59.1,32.5,7.5,0.6,0.2
天使爱美丽,https://movie.douban.com/subject/1292215/,1020713,2001,法国 德国,喜剧 爱情,50.0,36.7,11.8,1.2,0.3
教父3,https://movie.douban.com/subject/1294240/,432089,1990,美国,犯罪,60.2,31.8,7.3,0.6,0.2
侧耳倾听,https://movie.douban.com/subject/1297052/,520367,1995,日本,爱情 动画,56.3,34.7,8.3,0.5,0.1
哪吒闹海,https://movie.douban.com/subject/1307315/,308120,1979,中国大陆,冒险 动画 奇幻,66.9,26.8,5.8,0.4,0.1
九品芝麻官,https://movie.douban.com/subject/1297518/,793740,1994,中国香港,喜剧 古装,49.0,41.1,9.4,0.4,0.1
被解救的姜戈,https://movie.douban.com/subject/6307447/,692037,2012,美国,动作 西部 冒险,52.0,38.9,8.3,0.6,0.2
请以你的名字呼唤我,https://movie.douban.com/subject/26799731/,823986,2017,意大利 法国 巴西 美国,爱情 同性,54.8,33.3,10.1,1.2,0.5
幸福终点站,https://movie.douban.com/subject/1292274/,641926,2004,美国,喜剧  爱情,52.1,38.6,8.5,0.6,0.1
釜山行,https://movie.douban.com/subject/25986180/,1349574,2016,韩国,动作 惊悚 灾难,44.1,43.9,10.9,0.8,0.3
神偷奶爸,https://movie.douban.com/subject/3287562/,1046407,2010,美国 法国,喜剧 动画 冒险,45.6,43.3,10.5,0.5,0.1
小森林 冬春篇,https://movie.douban.com/subject/25814707/,420470,2015,日本,未知,60.1,32.0,7.1,0.6,0.2
喜宴,https://movie.douban.com/subject/1303037/,431470,1993,中国台湾 美国,喜剧 爱情 同性 家庭,56.4,37.3,5.8,0.4,0.2
萤火之森,https://movie.douban.com/subject/5989818/,610733,2011,日本,爱情 动画 奇幻,54.5,34.2,10.1,0.9,0.3
告白,https://movie.douban.com/subject/4268598/,743735,2010,日本,悬疑,51.9,37.0,9.5,1.1,0.5
玛丽和麦克斯,https://movie.douban.com/subject/3072124/,470648,2009,澳大利亚 美国,喜剧 动画,57.9,33.1,8.0,0.8,0.3
七武士,https://movie.douban.com/subject/1295399/,235538,1954,日本,动作 冒险,71.6,23.2,4.5,0.5,0.3
头号玩家,https://movie.douban.com/subject/4920389/,1516488,2018,美国,动作 科幻 冒险,48.1,38.0,12.1,1.3,0.4
模仿游戏,https://movie.douban.com/subject/10463953/,720028,2014,英国 美国,传记 战争 同性,49.1,41.1,9.2,0.5,0.1
惊魂记,https://movie.douban.com/subject/1293181/,356345,1960,美国,悬疑 惊悚 恐怖,59.1,34.2,6.1,0.4,0.2
大鱼,https://movie.douban.com/subject/1291545/,626943,2003,美国,爱情 奇幻 冒险,51.8,37.1,9.9,0.9,0.3
心灵奇旅,https://movie.douban.com/subject/24733428/,1142241,2020,美国,动画 奇幻 音乐,48.9,38.4,11.8,0.8,0.2
射雕英雄传之东成西就,https://movie.douban.com/subject/1316510/,717972,1993,中国香港,喜剧 奇幻 武侠 古装,52.9,33.2,11.5,1.7,0.7
血战钢锯岭,https://movie.douban.com/subject/26325320/,859640,2016,澳大利亚 美国,传记 历史 战争,46.4,41.6,10.8,0.9,0.2
背靠背，脸对脸,https://movie.douban.com/subject/1307856/,179789,1994,中国大陆 中国香港,未知,75.7,21.6,2.3,0.2,0.1
